First Name,Last Name,SID,Email,Extra Credit Introduction,Extra Credit Introduction - Max Points,Extra Credit Introduction - Submission Time,Extra Credit Introduction - Lateness (H:M:S),Quiz 1,Quiz 1 - Max Points,Quiz 1 - Submission Time,Quiz 1 - Lateness (H:M:S),Quiz 2,Quiz 2 - Max Points,Quiz 2 - Submission Time,Quiz 2 - Lateness (H:M:S),Quiz 3,Quiz 3 - Max Points,Quiz 3 - Submission Time,Quiz 3 - Lateness (H:M:S),Worksheet 2 (Extra Credit for Quiz 4),Worksheet 2 (Extra Credit for Quiz 4) - Max Points,Worksheet 2 (Extra Credit for Quiz 4) - Submission Time,Worksheet 2 (Extra Credit for Quiz 4) - Lateness (H:M:S),Worksheet 3 (Extra Credit for Quiz 5),Worksheet 3 (Extra Credit for Quiz 5) - Max Points,Worksheet 3 (Extra Credit for Quiz 5) - Submission Time,Worksheet 3 (Extra Credit for Quiz 5) - Lateness (H:M:S),Quiz 4,Quiz 4 - Max Points,Quiz 4 - Submission Time,Quiz 4 - Lateness (H:M:S),Quiz 5,Quiz 5 - Max Points,Quiz 5 - Submission Time,Quiz 5 - Lateness (H:M:S),Midterm 1,Midterm 1 - Max Points,Midterm 1 - Submission Time,Midterm 1 - Lateness (H:M:S),Worksheet 4 (Extra Credit for Quiz 6),Worksheet 4 (Extra Credit for Quiz 6) - Max Points,Worksheet 4 (Extra Credit for Quiz 6) - Submission Time,Worksheet 4 (Extra Credit for Quiz 6) - Lateness (H:M:S),Worksheet 5 (Extra Credit for Quiz 7),Worksheet 5 (Extra Credit for Quiz 7) - Max Points,Worksheet 5 (Extra Credit for Quiz 7) - Submission Time,Worksheet 5 (Extra Credit for Quiz 7) - Lateness (H:M:S),Worksheet 6 (Extra Credit for Quiz 8),Worksheet 6 (Extra Credit for Quiz 8) - Max Points,Worksheet 6 (Extra Credit for Quiz 8) - Submission Time,Worksheet 6 (Extra Credit for Quiz 8) - Lateness (H:M:S),Total Lateness (H:M:S)
student A first name,student A last name,id#,username@gmu.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
